Player,Club,Year,Season,Minutes Played,Shutouts,Win Percentage (%),Save Percentage (%),Year = 1,Year = 2,Year = 3,Year = 4,Year = 5,"Interaction(Shutouts,Win Percentage (%))"
Bryan Meredith,VAN,4,1,90,0,0.0%,50.0%,0,0,0,1,0,0
Vito Mannone,MIN,5,1,3060,11,44.1%,73.7%,0,0,0,0,1,4.852941176
Brad Guzan,ATL,5,1,3060,14,52.9%,67.4%,0,0,0,0,1,7.411764706
Daniel Vega,SJ,5,1,3060,7,38.2%,65.9%,0,0,0,0,1,2.676470588
Stefan Frei,SEA,5,1,3060,10,47.1%,70.3%,0,0,0,0,1,4.705882353
Bill Hamid,DC,5,1,2970,14,36.4%,75.0%,0,0,0,0,1,5.090909091
Luis Robles,MIA,5,1,2970,9,39.4%,63.8%,0,0,0,0,1,3.545454545
David Bingham,LA,5,1,2970,8,48.5%,72.3%,0,0,0,0,1,3.878787879
Tim Melia,SKC,5,1,2880,6,31.3%,64.2%,0,0,0,0,1,1.875
Evan Bush,MTL,5,1,2880,7,34.4%,58.3%,0,0,0,0,1,2.40625
Brian Rowe ,ORL,5,1,2880,7,28.1%,68.8%,0,0,0,0,1,1.96875
Jesse Gonzalez,DAL,5,1,2880,8,40.6%,65.6%,0,0,0,0,1,3.25
Sean Johnson,NYC,5,1,2610,7,48.3%,67.2%,0,0,0,0,1,3.379310345
Nick Rimando,RSL,5,1,2610,10,48.3%,66.4%,0,0,0,0,1,4.827586207
Quentin Westberg,TOR,5,1,2505,4,33.3%,65.2%,0,0,0,0,1,1.333333333
Tyler Miller,MIN,5,1,2520,9,64.3%,69.9%,0,0,0,0,1,5.785714286
Joe Willis,NSH,5,1,2430,3,37.0%,66.2%,0,0,0,0,1,1.111111111
Andre Blake,PHI,5,1,2304,3,42.3%,57.3%,0,0,0,0,1,1.269230769
Maxime Crepeau,VAN,5,1,2340,5,26.9%,71.7%,0,0,0,0,1,1.346153846
Tim Howard,COL,5,1,2159,5,33.3%,62.4%,0,0,0,0,1,1.666666667
Steve Clark,POR,5,1,2160,6,54.2%,77.1%,0,0,0,0,1,3.25
Matt Turner,NE,5,1,1766,5,42.1%,75.0%,0,0,0,0,1,2.105263158
Kenneth Kronholm,CHI,5,1,1800,5,30.0%,66.7%,0,0,0,0,1,1.5
Spencer Richey,CIN,5,1,1710,2,26.3%,57.5%,0,0,0,0,1,0.526315789
Przemyslaw Tyton,CIN,5,1,1350,3,6.7%,51.6%,0,0,0,0,1,0.2
David Ousted,CHI,5,1,1260,4,28.6%,60.7%,0,0,0,0,1,1.142857143
Zack Steffen,CLB,5,1,1170,4,38.5%,69.6%,0,0,0,0,1,1.538461538
Eloy Room,CLB,5,1,1080,1,41.7%,70.2%,0,0,0,0,1,0.416666667
Clint Irwin,COL,5,1,901,1,40.0%,72.4%,0,0,0,0,1,0.4
Jeff Attinella,POR,5,1,900,0,10.0%,62.5%,0,0,0,0,1,0
Brad Knighton,NE,5,1,662,0,12.5%,55.2%,0,0,0,0,1,0
Zac MacMath,RSL,5,1,720,0,12.5%,71.2%,0,0,0,0,1,0
Alex Bono,TOR,5,1,555,1,57.1%,57.1%,0,0,0,0,1,0.571428571
Cody Cropper,HOU,5,1,630,1,28.6%,59.2%,0,0,0,0,1,0.285714286
Tyler Deric,HOU,5,1,630,0,28.6%,52.8%,0,0,0,0,1,0
Matt Freese,PHI,5,1,437,0,25.0%,56.5%,0,0,0,0,1,0
Joe Bendik,PHI,5,1,540,0,0.0%,51.9%,0,0,0,0,1,0
Pablo Sisniega,LAFC,5,1,540,0,50.0%,65.4%,0,0,0,0,1,0
Steve Clark,,1,0,480,1,40.0%,76.5%,1,0,0,0,0,0.4
Luis Robles,,1,0,360,3,75.0%,85.7%,1,0,0,0,0,2.25
Jesse Gonzalez,,1,0,390,0,25.0%,63.6%,1,0,0,0,0,0
Bill Hamid,,1,0,270,0,33.3%,83.3%,1,0,0,0,0,0
Stefan Frei,,1,0,300,0,66.7%,73.7%,1,0,0,0,0,0
Evan Bush,,1,0,300,1,66.7%,71.4%,1,0,0,0,0,0.666666667
David Ousted,,1,0,180,1,0.0%,81.8%,1,0,0,0,0,0
Jon Kempin,,1,0,36,0,0.0%,0.0%,1,0,0,0,0,0
Tim Melia,,1,0,84,0,0.0%,50.0%,1,0,0,0,0,0
Bobby Shuttleworth,,1,0,90,0,0.0%,71.4%,1,0,0,0,0,0
Stefan Frei,,2,0,570,4,66.7%,86.7%,0,1,0,0,0,2.666666667
Clint Irwin,,2,0,600,3,66.7%,65.0%,0,1,0,0,0,2
Evan Bush,,2,0,480,1,80.0%,48.0%,0,1,0,0,0,0.8
